date,timestamp_queried,source_url,rows_matched
2022-10-12,20221012121500,http://data.gdeltproject.org/gdeltv2/20221012121500.gkg.csv.zip,179
2022-10-13,20221013121500,http://data.gdeltproject.org/gdeltv2/20221013121500.gkg.csv.zip,169
2022-10-14,20221014121500,http://data.gdeltproject.org/gdeltv2/20221014121500.gkg.csv.zip,120
2022-10-15,20221015121500,http://data.gdeltproject.org/gdeltv2/20221015121500.gkg.csv.zip,45
2022-10-16,20221016121500,http://data.gdeltproject.org/gdeltv2/20221016121500.gkg.csv.zip,85
2022-10-17,20221017121500,http://data.gdeltproject.org/gdeltv2/20221017121500.gkg.csv.zip,127
2022-10-18,20221018121500,http://data.gdeltproject.org/gdeltv2/20221018121500.gkg.csv.zip,103
2022-10-19,20221019121500,http://data.gdeltproject.org/gdeltv2/20221019121500.gkg.csv.zip,144
2022-10-20,20221020121500,http://data.gdeltproject.org/gdeltv2/20221020121500.gkg.csv.zip,148
2022-10-21,20221021121500,http://data.gdeltproject.org/gdeltv2/20221021121500.gkg.csv.zip,163
2022-10-22,20221022121500,http://data.gdeltproject.org/gdeltv2/20221022121500.gkg.csv.zip,96
2022-10-23,20221023121500,http://data.gdeltproject.org/gdeltv2/20221023121500.gkg.csv.zip,70
2022-10-24,20221024121500,http://data.gdeltproject.org/gdeltv2/20221024121500.gkg.csv.zip,178
2022-10-25,20221025121500,http://data.gdeltproject.org/gdeltv2/20221025121500.gkg.csv.zip,163
2022-10-26,20221026121500,http://data.gdeltproject.org/gdeltv2/20221026121500.gkg.csv.zip,134
2022-10-27,20221027121500,http://data.gdeltproject.org/gdeltv2/20221027121500.gkg.csv.zip,161
2022-10-28,20221028121500,http://data.gdeltproject.org/gdeltv2/20221028121500.gkg.csv.zip,177
2022-10-29,20221029121500,http://data.gdeltproject.org/gdeltv2/20221029121500.gkg.csv.zip,43
2022-10-30,20221030121500,http://data.gdeltproject.org/gdeltv2/20221030121500.gkg.csv.zip,85
2022-10-31,20221031121500,http://data.gdeltproject.org/gdeltv2/20221031121500.gkg.csv.zip,128
2022-11-01,20221101121500,http://data.gdeltproject.org/gdeltv2/20221101121500.gkg.csv.zip,133
2022-11-02,20221102121500,http://data.gdeltproject.org/gdeltv2/20221102121500.gkg.csv.zip,180
2022-11-03,20221103121500,http://data.gdeltproject.org/gdeltv2/20221103121500.gkg.csv.zip,146
2022-11-04,20221104121500,http://data.gdeltproject.org/gdeltv2/20221104121500.gkg.csv.zip,120
2022-11-05,20221105121500,http://data.gdeltproject.org/gdeltv2/20221105121500.gkg.csv.zip,49
2022-11-06,20221106121500,http://data.gdeltproject.org/gdeltv2/20221106121500.gkg.csv.zip,72
2022-11-07,20221107121500,http://data.gdeltproject.org/gdeltv2/20221107121500.gkg.csv.zip,107
2022-11-08,20221108121500,http://data.gdeltproject.org/gdeltv2/20221108121500.gkg.csv.zip,137
2022-11-09,20221109121500,http://data.gdeltproject.org/gdeltv2/20221109121500.gkg.csv.zip,176
2022-11-10,20221110121500,http://data.gdeltproject.org/gdeltv2/20221110121500.gkg.csv.zip,111
2022-11-11,20221111121500,http://data.gdeltproject.org/gdeltv2/20221111121500.gkg.csv.zip,0
2022-11-12,20221112121500,http://data.gdeltproject.org/gdeltv2/20221112121500.gkg.csv.zip,63
2022-11-13,20221113121500,http://data.gdeltproject.org/gdeltv2/20221113121500.gkg.csv.zip,46
2022-11-14,20221114121500,http://data.gdeltproject.org/gdeltv2/20221114121500.gkg.csv.zip,99
2022-11-15,20221115121500,http://data.gdeltproject.org/gdeltv2/20221115121500.gkg.csv.zip,138
2022-11-16,20221116121500,http://data.gdeltproject.org/gdeltv2/20221116121500.gkg.csv.zip,133
2022-11-17,20221117121500,http://data.gdeltproject.org/gdeltv2/20221117121500.gkg.csv.zip,130
2022-11-18,20221118121500,http://data.gdeltproject.org/gdeltv2/20221118121500.gkg.csv.zip,118
2022-11-19,20221119121500,http://data.gdeltproject.org/gdeltv2/20221119121500.gkg.csv.zip,54
2022-11-20,20221120121500,http://data.gdeltproject.org/gdeltv2/20221120121500.gkg.csv.zip,38
2022-11-21,20221121121500,http://data.gdeltproject.org/gdeltv2/20221121121500.gkg.csv.zip,122
2022-11-22,20221122121500,http://data.gdeltproject.org/gdeltv2/20221122121500.gkg.csv.zip,110
2022-11-23,20221123121500,http://data.gdeltproject.org/gdeltv2/20221123121500.gkg.csv.zip,160
2022-11-24,20221124121500,http://data.gdeltproject.org/gdeltv2/20221124121500.gkg.csv.zip,96
2022-11-25,20221125121500,http://data.gdeltproject.org/gdeltv2/20221125121500.gkg.csv.zip,144
2022-11-26,20221126121500,http://data.gdeltproject.org/gdeltv2/20221126121500.gkg.csv.zip,69
2022-11-27,20221127121500,http://data.gdeltproject.org/gdeltv2/20221127121500.gkg.csv.zip,67
